part_id,word,jelly_fish,human,artificial_intelligence,virus,rock,robot,chimpanzee,god,autonomous_car,computer
5521538.0,jelly_fish,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5521538.0,human,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5521538.0,artificial_intelligence,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5521538.0,virus,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0
5521538.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5521538.0,robot,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,1.0
5521538.0,chimpanzee,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0
5521538.0,god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5521538.0,autonomous_car,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0
5521538.0,computer,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
5521541.0,jelly_fish,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5521541.0,human,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
5521541.0,artificial_intelligence,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5521541.0,virus,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
5521541.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5521541.0,robot,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0
5521541.0,chimpanzee,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0
5521541.0,god,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0
5521541.0,autonomous_car,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
5521541.0,computer,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,
5521539.0,jelly_fish,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5521539.0,human,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5521539.0,artificial_intelligence,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5521539.0,virus,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0
5521539.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5521539.0,robot,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0
5521539.0,chimpanzee,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0
5521539.0,god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5521539.0,autonomous_car,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,1.0
5521539.0,computer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
5521551.0,jelly_fish,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5521551.0,human,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5521551.0,artificial_intelligence,1.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0
5521551.0,virus,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0
5521551.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0
5521551.0,robot,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
5521551.0,chimpanzee,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
5521551.0,god,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
5521551.0,autonomous_car,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0
5521551.0,computer,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,
5521552.0,jelly_fish,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5521552.0,human,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
5521552.0,artificial_intelligence,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5521552.0,virus,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0
5521552.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5521552.0,robot,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0
5521552.0,chimpanzee,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0
5521552.0,god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
5521552.0,autonomous_car,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0
5521552.0,computer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,
5521568.0,jelly_fish,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
5521568.0,human,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5521568.0,artificial_intelligence,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5521568.0,virus,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0
5521568.0,rock,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
5521568.0,robot,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0
5521568.0,chimpanzee,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0
